id,timestamp,predictions,0.1,0.5,0.9
area_001,2026-01-15 00:00:00,4188.34,4188.34,4188.34,4188.34
area_001,2026-01-15 00:30:00,4365.17,4365.17,4365.17,4365.17
area_001,2026-01-15 01:00:00,4289.54,4289.54,4289.54,4289.54
area_001,2026-01-15 01:30:00,4236.52,4236.52,4236.52,4236.52
area_001,2026-01-15 02:00:00,4351.43,4351.43,4351.43,4351.43
area_001,2026-01-15 02:30:00,4333.6,4333.6,4333.6,4333.6
area_001,2026-01-15 03:00:00,4293.89,4293.89,4293.89,4293.89
area_001,2026-01-15 03:30:00,4330.61,4330.61,4330.61,4330.61
area_001,2026-01-15 04:00:00,4289.36,4289.36,4289.36,4289.36
area_001,2026-01-15 04:30:00,4388.04,4388.04,4388.04,4388.04
area_001,2026-01-15 05:00:00,4445.87,4445.87,4445.87,4445.87
area_001,2026-01-15 05:30:00,4384.56,4384.56,4384.56,4384.56
area_001,2026-01-15 06:00:00,4347.84,4347.84,4347.84,4347.84
area_001,2026-01-15 06:30:00,4340.97,4340.97,4340.97,4340.97
area_001,2026-01-15 07:00:00,4313.44,4313.44,4313.44,4313.44
area_001,2026-01-15 07:30:00,4306.8,4306.8,4306.8,4306.8
area_001,2026-01-15 08:00:00,4308.44,4308.44,4308.44,4308.44
area_001,2026-01-15 08:30:00,4325.9,4325.9,4325.9,4325.9
area_001,2026-01-15 09:00:00,4174.8,4174.8,4174.8,4174.8
area_001,2026-01-15 09:30:00,4295.73,4295.73,4295.73,4295.73
area_001,2026-01-15 10:00:00,4228.75,4228.75,4228.75,4228.75
area_001,2026-01-15 10:30:00,4244.23,4244.23,4244.23,4244.23
area_001,2026-01-15 11:00:00,4152.43,4152.43,4152.43,4152.43
area_001,2026-01-15 11:30:00,4274.58,4274.58,4274.58,4274.58
area_001,2026-01-15 12:00:00,4236.3,4236.3,4236.3,4236.3
area_001,2026-01-15 12:30:00,4217.87,4217.87,4217.87,4217.87
area_001,2026-01-15 13:00:00,4071.46,4071.46,4071.46,4071.46
area_001,2026-01-15 13:30:00,4191.58,4191.58,4191.58,4191.58
area_001,2026-01-15 14:00:00,4145.98,4145.98,4145.98,4145.98
area_001,2026-01-15 14:30:00,4082.97,4082.97,4082.97,4082.97
area_001,2026-01-15 15:00:00,4133.94,4133.94,4133.94,4133.94
area_001,2026-01-15 15:30:00,4155.6,4155.6,4155.6,4155.6
area_001,2026-01-15 16:00:00,4181.11,4181.11,4181.11,4181.11
area_001,2026-01-15 16:30:00,4158.3,4158.3,4158.3,4158.3
area_001,2026-01-15 17:00:00,4160.1,4160.1,4160.1,4160.1
area_001,2026-01-15 17:30:00,4240.97,4240.97,4240.97,4240.97
area_001,2026-01-15 18:00:00,4257.65,4257.65,4257.65,4257.65
area_001,2026-01-15 18:30:00,4057.31,4057.31,4057.31,4057.31
area_001,2026-01-15 19:00:00,4186.4,4186.4,4186.4,4186.4
area_001,2026-01-15 19:30:00,4193.24,4193.24,4193.24,4193.24
area_001,2026-01-15 20:00:00,4126.83,4126.83,4126.83,4126.83
area_001,2026-01-15 20:30:00,4237.65,4237.65,4237.65,4237.65
area_001,2026-01-15 21:00:00,4299.62,4299.62,4299.62,4299.62
area_001,2026-01-15 21:30:00,4183.37,4183.37,4183.37,4183.37
area_001,2026-01-15 22:00:00,4272.12,4272.12,4272.12,4272.12
area_001,2026-01-15 22:30:00,4253.02,4253.02,4253.02,4253.02
area_001,2026-01-15 23:00:00,4241.58,4241.58,4241.58,4241.58
area_001,2026-01-15 23:30:00,4359.62,4359.62,4359.62,4359.62
