id,timestamp,temperature_forecast,solar_forecast,holiday
area_001,2026-01-15 00:00:00,9.43,0.0,0
area_001,2026-01-15 00:30:00,10.03,0.0,0
area_001,2026-01-15 01:00:00,12.81,0.0,0
area_001,2026-01-15 01:30:00,13.45,0.0,0
area_001,2026-01-15 02:00:00,16.06,0.0,0
area_001,2026-01-15 02:30:00,15.39,0.0,0
area_001,2026-01-15 03:00:00,16.19,0.0,0
area_001,2026-01-15 03:30:00,16.47,0.0,0
area_001,2026-01-15 04:00:00,17.88,0.0,0
area_001,2026-01-15 04:30:00,18.23,0.0,0
area_001,2026-01-15 05:00:00,19.1,0.0,0
area_001,2026-01-15 05:30:00,17.92,0.0,0
area_001,2026-01-15 06:00:00,18.1,0.0,0
area_001,2026-01-15 06:30:00,18.03,0.1305,0
area_001,2026-01-15 07:00:00,18.88,0.2588,0
area_001,2026-01-15 07:30:00,19.14,0.3827,0
area_001,2026-01-15 08:00:00,17.15,0.5,0
area_001,2026-01-15 08:30:00,16.63,0.6088,0
area_001,2026-01-15 09:00:00,16.57,0.7071,0
area_001,2026-01-15 09:30:00,15.37,0.7934,0
area_001,2026-01-15 10:00:00,15.49,0.866,0
area_001,2026-01-15 10:30:00,12.03,0.9239,0
area_001,2026-01-15 11:00:00,12.21,0.9659,0
area_001,2026-01-15 11:30:00,11.25,0.9914,0
area_001,2026-01-15 12:00:00,9.01,1.0,0
area_001,2026-01-15 12:30:00,9.09,0.9914,0
area_001,2026-01-15 13:00:00,8.13,0.9659,0
area_001,2026-01-15 13:30:00,7.75,0.9239,0
area_001,2026-01-15 14:00:00,7.89,0.866,0
area_001,2026-01-15 14:30:00,5.97,0.7934,0
area_001,2026-01-15 15:00:00,4.58,0.7071,0
area_001,2026-01-15 15:30:00,4.7,0.6088,0
area_001,2026-01-15 16:00:00,5.04,0.5,0
area_001,2026-01-15 16:30:00,2.99,0.3827,0
area_001,2026-01-15 17:00:00,2.73,0.2588,0
area_001,2026-01-15 17:30:00,3.73,0.1305,0
area_001,2026-01-15 18:00:00,3.07,0.0,0
area_001,2026-01-15 18:30:00,3.86,0.0,0
area_001,2026-01-15 19:00:00,3.57,0.0,0
area_001,2026-01-15 19:30:00,4.5,0.0,0
area_001,2026-01-15 20:00:00,3.6,0.0,0
area_001,2026-01-15 20:30:00,5.03,0.0,0
area_001,2026-01-15 21:00:00,5.59,0.0,0
area_001,2026-01-15 21:30:00,5.6,0.0,0
area_001,2026-01-15 22:00:00,6.22,0.0,0
area_001,2026-01-15 22:30:00,8.98,0.0,0
area_001,2026-01-15 23:00:00,9.16,0.0,0
area_001,2026-01-15 23:30:00,9.68,0.0,0
